Maddeler,Zararlılık
Şeker,"Fazla tüketimi diyabet, obezite ve kalp hastalıklarına yol açabilir."
Tuz,"Fazla tüketimi hipertansiyon, böbrek hastalıkları ve kalp hastalıklarına neden olabilir."
Sodyum,Fazla tüketimi yüksek tansiyon ve kalp rahatsızlıklarına yol açabilir.
Glukoz,"Kan şekerini hızlı yükseltebilir, aşırı tüketimi obeziteye yol açabilir."
Fruktoz,Şekerin aşırı tüketimi karaciğer yağlanması ve diyabete neden olabilir.
Koruyucu Maddeler,"Uzun vadede sağlık üzerinde olumsuz etkiler yaratabilir, alerjik reaksiyonlara neden olabilir."
Askorbik Asit,"C vitamini kaynağıdır, aşırıya kaçılmamalıdır."
Maltodekstrin,"Yüksek glisemik indeksi olan bir şeker türüdür, kan şekerini yükseltebilir."
Laktöz,Laktaz enzimi eksik olan kişilerde sindirim problemleri yaratabilir.
Rafine Edilmiş Yağ,Yüksek kalori içerir ve aşırıya kaçılması sağlık sorunlarına yol açabilir.
Palm Yağı,"Yüksek doymuş yağ içerir, aşırı tüketimi kalp hastalıklarına yol açabilir."
Trans Yağlar,"Zararlıdır, kalp hastalıkları ve diyabete yol açabilir."
Yapay Tatlandırıcılar,Fazla tüketimi metabolizmayı etkileyebilir ve bazı hastalıkların riskini artırabilir.
Glikoz Şurubu,Yüksek fruktoz içerir ve aşırı tüketimi karaciğer yağlanmasına neden olabilir.
Yapay Renkler,"Alkolojenik reaksiyonlara yol açabilir, aşırı tüketimi sağlığa zarar verebilir."
Vanilin,"Yapay olarak üretilmiş bir tatlandırıcıdır, aşırı tüketimi sağlığı olumsuz etkileyebilir."
Sülfür Dioksit,"Alerjik reaksiyonlara yol açabilir, astım hastaları için zararlıdır."
Kazein,Süt proteini olup bazı kişilerde alerjik reaksiyonlar yaratabilir.
Lahana,"Fazla tüketimi gaz yapabilir, bazı kişilerde şişkinliğe yol açabilir."
Süt Tozu,İçerdiği yüksek miktarda laktoz bazı kişilerde sindirim sorunu yaratabilir.
Yumurta Tozu,Yüksek protein içerir ancak alerjisi olanlar için zararlıdır.
Şeker Alkolü,Şekerin alternatifi olarak kullanılır ancak fazla tüketimi sindirim problemleri yaratabilir.
Mısır Nişastası,"Bazı insanlar için sindirimi zor olabilir, aşırı tüketimi kan şekerini artırabilir."
Karbondioksit,"Bazı içeceklerde bulunur, fazla tüketimi asidik etki yaratabilir."
Sitrik Asit,"Şekerli içeceklerde yaygın olarak bulunur, fazla tüketimi asidik etki yaratabilir."
Kükürt Dioksit,"Asidik özellik gösterir, fazla alındığında alerjik reaksiyonlara neden olabilir."
Asetik Asit,"Yüksek asidik içerik, fazla tüketimi sindirim sistemini etkileyebilir."
Monosodyum Glutamat,"Bazı insanlar için alerjik reaksiyonlara yol açabilir, aşırı tüketimi sağlığı etkileyebilir."
Karboksimetil Selüloz,Fazla miktarda alındığında sindirim sorunlarına yol açabilir.
Agar Agar,"Doğal bir jelatindir, aşırı tüketimi kabızlık gibi sorunlara yol açabilir."
Sakarin,"Yapay tatlandırıcıdır, aşırı tüketimi sağlık sorunları yaratabilir."
Pekmez,"Doğal bir tatlandırıcıdır, fazla tüketimi kan şekerini artırabilir."
Gluten,Bazı insanlar için alerjik reaksiyonlara yol açabilir ve sindirim problemleri oluşturabilir.
Chia Tohumu,"Bol lif içerir, fazla tüketildiğinde sindirim sorunlarına yol açabilir."
Fındık,Fazla tüketimi alerjik reaksiyonlara yol açabilir.
Fıstık,"Yağ içeriği yüksektir, aşırı tüketimi kilo alımına yol açabilir."
Soya Fasulyesi,"İçerdiği izoflavonlar hormonları etkileyebilir, aşırı tüketimi sağlık sorunlarına yol açabilir."
Yulaf,"Fazla tüketimi sindirim sorunlarına yol açabilir, alerjisi olanlarda rahatsızlık yaratabilir."
Badem,Sağlıklı yağlar içerir ancak aşırı tüketimi kilo alımına yol açabilir.
Kavrulmuş Mısır,Fazla tüketimi kan şekerini artırabilir.
Ceviz,Omega-3 açısından zengindir ancak fazla tüketimi kilo alımına yol açabilir.
Yaban Mersini,"Vitamin ve antioksidan kaynağıdır, aşırı tüketimi gaz yapabilir."
Patates,İçerdiği nişasta fazla olduğunda kan şekerini artırabilir.
Makarna,Hızlıca sindirilir ve kan şekerini yükseltebilir.
Nohut,"İyi bir bitkisel protein kaynağıdır, aşırı tüketimi gaz yapabilir."
Brokoli,"Kanserle savaşan özelliklere sahip olabilir, bazı insanlar için gaz yapabilir."
Havuç,"Vitamin açısından zengindir, aşırı tüketimi ciltte sararmaya yol açabilir."
Ispanak,"Zengin demir kaynağıdır, fazla tüketimi böbrek taşı yapabilir."
Karpuz,"Bol su içerir, yaz meyvesidir."
Domates,Vitamin açısından zengindir.
Kavurma,"Fazla yağ içerir, aşırıya kaçılmamalıdır."
Köfte,"Yüksek kalori içerir, fazla tüketimi sağlıksız olabilir."
Sosis,Yüksek oranda doymuş yağ içerir.
Köfte,"Fazla yağ içerir, aşırıya kaçılmamalıdır."
Dondurma,Şeker içerir ve fazla kalori alımına yol açabilir.
Cips,Yüksek kalori ve tuz içerir.
Bisküvi,Yüksek şeker ve yağ içerir.
Çikolata,Fazla tüketimi diş çürüklerine neden olabilir.
Zeytinyağı,Kaliteli yağ kaynağıdır ancak fazla tüketimi obeziteye yol açabilir.
Fıstık Ezmesi,"Yüksek yağ ve kalori içerir, fazla tüketimi kilo alımına yol açabilir."
Fazla Yağlı Et,Yüksek kalori içerir ve aşırı tüketimi sağlık sorunlarına yol açabilir.
Kola,"Şeker ve asidik bileşikler içerir, fazla tüketimi zararlıdır."
Soda,"Şeker içerir, fazla tüketimi sağlık sorunlarına yol açabilir."
Meşrubatlar,"Şeker içerir, fazla tüketimi sağlık sorunlarına yol açabilir."
